Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose
PROGESTERONE,https://www.drugs.com/dosage/progesterone.html,"for:




Amenorrhea


Uterine Bleeding


Endometrial Hyperplasia - Prophylaxis


Fetal Maturation


Progesterone Insufficiency


Female Infertility




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
"DAPAGLIFLOZIN, SAXAGLIPTIN",https://www.drugs.com/dosage/dapagliflozin-saxagliptin.html,"for:




Diabetes Type 2




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
DAPAGLIFLOZIN,https://www.drugs.com/dosage/dapagliflozin.html,"for:




Diabetes Type 2


Heart Failure with Reduced Ejection Fraction


Chronic Kidney Disease




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
PANTOPRAZOLE,https://www.drugs.com/dosage/pantoprazole.html,"for:




Erosive Esophagitis


Gastroesophageal Reflux Disease


Zollinger-Ellison Syndrome


Pathological Hypersecretory Conditions","for:




Erosive Esophagitis


Gastroesophageal Reflux Disease








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
BUPRENORPHINE,https://www.drugs.com/dosage/buprenorphine.html,"for:




Opioid Use Disorder - Induction


Opioid Use Disorder - Maintenance


Pain


Chronic Pain","for:




Pain


Opioid Use Disorder - Maintenance








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
TIOTROPIUM,https://www.drugs.com/dosage/tiotropium.html,"for:




Chronic Obstructive Pulmonary Disease - Maintenance


Asthma - Maintenance","for:




Asthma - Maintenance




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
TELOTRISTAT ETHYL,https://www.drugs.com/dosage/telotristat-ethyl.html,"for:




Carcinoid Tumor


Carcinoid Syndrome




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
PEGINTERFERON BETA-1A,https://www.drugs.com/dosage/peginterferon-beta-1a.html,"for:




Multiple Sclerosis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
SODIUM ZIRCONIUM CYCLOSILICATE,https://www.drugs.com/dosage/sodium-zirconium-cyclosilicate.html,"for:




Hyperkalemia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
Dimethyl Fumarate,https://www.drugs.com/dosage/dimethyl-fumarate.html,"for:




Multiple Sclerosis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
GALCANEZUMAB,https://www.drugs.com/dosage/galcanezumab.html,"for:




Migraine Prophylaxis


Cluster Headache




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
"DEXTROMETHORPHAN, GUAIFENESIN",https://www.drugs.com/dosage/dextromethorphan-guaifenesin.html,"for:




Cough","for:




Cough




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis",,
PONATINIB,https://www.drugs.com/dosage/ponatinib.html,"for:




Chronic Myelogenous Leukemia


Acute Lymphoblastic Leukemia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
SEVOFLURANE,https://www.drugs.com/dosage/sevoflurane.html,"for:




Anesthesia","for:




Anesthesia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Dialysis


Other Comments",,
CLOTRIMAZOLE,https://www.drugs.com/dosage/clotrimazole.html,"for:




Oral Thrush","for:




Oral Thrush




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
TILDRAKIZUMAB,https://www.drugs.com/dosage/tildrakizumab.html,"for:




Plaque Psoriasis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
CLOFARABINE,https://www.drugs.com/dosage/clofarabine.html,"for:




Acute Lymphoblastic Leukemia","for:




Acute Lymphoblastic Leukemia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
OXALIPLATIN,https://www.drugs.com/dosage/oxaliplatin.html,"for:




Colorectal Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
LAPATINIB,https://www.drugs.com/dosage/lapatinib.html,"for:




Breast Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
MOGAMULIZUMAB,https://www.drugs.com/dosage/mogamulizumab.html,"for:




Mycosis Fungoides




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
CLOPIDOGREL,https://www.drugs.com/dosage/clopidogrel.html,"for:




Acute Coronary Syndrome


Ischemic Stroke


Myocardial Infarction


Peripheral Arterial Disease




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
VELMANASE ALFA,https://www.drugs.com/dosage/velmanase-alfa.html,"for:




Mannosidosis","for:




Mannosidosis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
LETERMOVIR,https://www.drugs.com/dosage/letermovir.html,"for:




CMV Prophylaxis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
SUFENTANIL,https://www.drugs.com/dosage/sufentanil.html,"for:




Anesthesia


Labor Pain


Pain","for:




Anesthesia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
PIRFENIDONE,https://www.drugs.com/dosage/pirfenidone.html,"for:




Idiopathic Pulmonary Fibrosis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
MELOXICAM,https://www.drugs.com/dosage/meloxicam.html,"for:




Osteoarthritis


Rheumatoid Arthritis


Pain","for:




Juvenile Rheumatoid Arthritis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
DARATUMUMAB,https://www.drugs.com/dosage/daratumumab.html,"for:




Multiple Myeloma




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
ROMOSOZUMAB,https://www.drugs.com/dosage/romosozumab.html,"for:




Osteoporosis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
VENETOCLAX,https://www.drugs.com/dosage/venetoclax.html,"for:




Lymphoma


Leukemia",,,
FLUOXETINE,https://www.drugs.com/dosage/fluoxetine.html,"for:




Bulimia


Depression


Obsessive Compulsive Disorder


Panic Disorder


Premenstrual Dysphoric Disorder","for:




Depression


Obsessive Compulsive Disorder








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
SUNITINIB,https://www.drugs.com/dosage/sunitinib.html,"for:




Renal Cell Carcinoma


Gastrointestinal Stromal Tumor


Pancreatic Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
BUROSUMAB,https://www.drugs.com/dosage/burosumab.html,"for:




Familial Hypophosphatemia


Osteomalacia","for:




Familial Hypophosphatemia


Osteomalacia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
LACOSAMIDE,https://www.drugs.com/dosage/lacosamide.html,"for:




Epilepsy


Seizures","for:




Epilepsy


Seizures




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
LINACLOTIDE,https://www.drugs.com/dosage/linaclotide.html,"for:




Irritable Bowel Syndrome


Constipation","for:




Irritable Bowel Syndrome


Constipation




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
TRIFLUOPERAZINE,https://www.drugs.com/dosage/trifluoperazine.html,"for:




Schizophrenia


Anxiety","for:




Schizophrenia








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
AVELUMAB,https://www.drugs.com/dosage/avelumab.html,"for:




Merkel Cell Carcinoma


Urothelial Carcinoma


Renal Cell Carcinoma","for:




Merkel Cell Carcinoma




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
NITISINONE,https://www.drugs.com/dosage/nitisinone.html,"for:




Hereditary Tyrosinemia Type 1","for:




Hereditary Tyrosinemia Type 1




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
OFLOXACIN,https://www.drugs.com/dosage/ofloxacin.html,"for:




Bronchitis


Skin and Structure Infection


Pneumonia


Gonococcal Infection - Uncomplicated


Nongonococcal Urethritis


Chlamydia Infection


Cervicitis


Pelvic Inflammatory Disease


Cystitis


Urinary Tract Infection


Prostatitis


Epididymitis - Sexually Transmitted


Epididymitis - Non-Specific


Pyelonephritis


Shigellosis


Infectious Diarrhea


Salmonella Enteric Fever


Salmonella Gastroenteritis


Traveler's Diarrhea








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
USTEKINUMAB,https://www.drugs.com/dosage/ustekinumab.html,"for:




Plaque Psoriasis


Psoriatic Arthritis


Crohn's Disease - Acute


Crohn's Disease - Maintenance


Ulcerative Colitis","for:




Plaque Psoriasis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
MINOCYCLINE,https://www.drugs.com/dosage/minocycline.html,"for:




Bacterial Infection


Acne


Meningitis - Meningococcal


Meningococcal Meningitis Prophylaxis


Skin or Soft Tissue Infection


Skin and Structure Infection


Chancroid


Gonococcal Infection - Uncomplicated","for:




Bacterial Infection


Acne


Skin or Soft Tissue Infection


Skin and Structure Infection




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
PIOGLITAZONE,https://www.drugs.com/dosage/pioglitazone.html,"for:




Diabetes Type 2




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
AMPICILLIN,https://www.drugs.com/dosage/ampicillin.html,"for:




Endocarditis


Meningitis


Septicemia


Gastroenteritis


Typhoid Fever


Urinary Tract Infection


Shigellosis


Intraabdominal Infection


Skin or Soft Tissue Infection


Pneumonia


Bronchitis


Upper Respiratory Tract Infection


Sinusitis


Pharyngitis


Bacterial Endocarditis Prophylaxis


Prevention of Perinatal Group B Streptococcal Disease


Surgical Prophylaxis


Peritonitis


Cutaneous Bacillus anthracis


Inhalation Bacillus anthracis


Gonococcal Infection - Uncomplicated","for:




Bacterial Infection


Septicemia


Meningitis


Meningitis - Streptococcus Group B


Endocarditis


Pharyngitis


Sinusitis


Upper Respiratory Tract Infection


Bronchitis


Pneumonia


Skin or Soft Tissue Infection


Intraabdominal Infection


Shigellosis


Urinary Tract Infection


Typhoid Fever


Gastroenteritis


Bacterial Endocarditis Prophylaxis


Surgical Prophylaxis


Peritonitis


Inhalation Bacillus anthracis


Cutaneous Bacillus anthracis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
BUSULFAN,https://www.drugs.com/dosage/busulfan.html,"for:




Chronic Myelogenous Leukemia


Bone Marrow Transplantation","for:




Chronic Myelogenous Leukemia


Bone Marrow Transplantation




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
FUROSEMIDE,https://www.drugs.com/dosage/furosemide.html,"for:




Ascites


Congestive Heart Failure


Edema


Nephrotic Syndrome


Renal Failure


Liver Cirrhosis


Pulmonary Edema


Hypertension","for:




Edema




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
ERENUMAB,https://www.drugs.com/dosage/erenumab.html,"for:




Migraine Prophylaxis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
VANDETANIB,https://www.drugs.com/dosage/vandetanib.html,"for:




Thyroid Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
TADALAFIL,https://www.drugs.com/dosage/tadalafil.html,"for:




Erectile Dysfunction


Pulmonary Hypertension


Benign Prostatic Hyperplasia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
OLANZAPINE,https://www.drugs.com/dosage/olanzapine.html,"for:




Bipolar Disorder


Schizophrenia


Depression


Agitated State","for:




Schizophrenia


Bipolar Disorder


Depression








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
LASMIDITAN,https://www.drugs.com/dosage/lasmiditan.html,"for:




Migraine




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
QUETIAPINE,https://www.drugs.com/dosage/quetiapine.html,"for:




Schizophrenia


Bipolar Disorder


Depression","for:




Schizophrenia


Bipolar Disorder




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
NATALIZUMAB,https://www.drugs.com/dosage/natalizumab.html,"for:




Multiple Sclerosis


Crohn's Disease - Maintenance




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
OLOPATADINE,https://www.drugs.com/dosage/olopatadine.html,"for:




Allergic Rhinitis","for:




Allergic Rhinitis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
INCLISIRAN,https://www.drugs.com/dosage/inclisiran.html,"for:




Hyperlipidemia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
POTASSIUM IODIDE,https://www.drugs.com/dosage/potassium-iodide.html,"for:




Cough


Radiation Emergency","for:




Radiation Emergency




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
DACLATASVIR,https://www.drugs.com/dosage/daclatasvir.html,"for:




Chronic Hepatitis C




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
PRAMIPEXOLE,https://www.drugs.com/dosage/pramipexole.html,"for:




Parkinson's Disease


Restless Legs Syndrome




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
GANCICLOVIR,https://www.drugs.com/dosage/ganciclovir.html,"for:




CMV Retinitis


CMV Prophylaxis","for:




CMV Infection




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
PRUCALOPRIDE,https://www.drugs.com/dosage/prucalopride.html,"for:




Chronic Idiopathic Constipation




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,,
AVATROMBOPAG,https://www.drugs.com/dosage/avatrombopag.html,"for:




Thrombocytopenia




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
GEFITINIB,https://www.drugs.com/dosage/gefitinib.html,"for:




Non-Small Cell Lung Cancer




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
SODIUM BICARBONATE,https://www.drugs.com/dosage/sodium-bicarbonate.html,"for:




Metabolic Acidosis


Diabetic Ketoacidosis


Urinary Alkalinization


Dyspepsia


Hyperkalemia


Asystole","for:




Metabolic Acidosis


Urinary Alkalinization


Hyperuricemia Secondary to Chemotherapy


Asystole








Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Precautions


Dialysis


Other Comments",,
PARICALCITOL,https://www.drugs.com/dosage/paricalcitol.html,"for:




Secondary Hyperparathyroidism","for:




Secondary Hyperparathyroidism




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
REPAGLINIDE,https://www.drugs.com/dosage/repaglinide.html,"for:




Diabetes Type 2




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
"INSULIN ASPART, INSULIN ASPART PROTAMINE",https://www.drugs.com/dosage/insulin-aspart-insulin-aspart-protamine.html,"for:




Diabetes Type 1


Diabetes Type 2




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
RASAGILINE,https://www.drugs.com/dosage/rasagiline.html,"for:




Parkinson's Disease




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,,
ACYCLOVIR,https://www.drugs.com/dosage/acyclovir.html,"for:




Herpes Simplex - Mucocutaneous/Immunocompetent Host


Herpes Simplex - Mucocutaneous/Immunocompromised Host


Herpes Simplex Encephalitis


Herpes Zoster


Varicella-Zoster


Herpes Simplex Labialis


Herpes Simplex - Suppression


Varicella-Zoster - Prophylaxis


Herpes Zoster - Prophylaxis","for:




Herpes Simplex - Congenital


Herpes Simplex - Mucocutaneous/Immunocompetent Host


Herpes Simplex Encephalitis


Herpes Simplex - Mucocutaneous/Immunocompromised Host


Herpes Zoster


Varicella-Zoster


Herpes Simplex - Suppression


Herpes Simplex Labialis


Herpes Zoster - Prophylaxis


Varicella-Zoster - Prophylaxis




Additional dosage information:




Renal Dose Adjustments


Liver Dose Adjustments


Dose Adjustments


Precautions


Dialysis


Other Comments",,
