Original Name,Search Term
PRIZMA 4GM-0.5GM POWDER FOR I.V INFUSION,PRIZMA
PRIVIGEN 10% SOLUTION FOR INFUSION,PRIVIGEN
PRIORIX-TETRA VACCINE,PRIORIXTETRA
PRIORIX 0.5ML VIAL,PRIORIX
PRIMPERAN TAB 10MG,PRIMPERAN
PRISTIQ 50MG EXTENDED RELEASE TABLETS,PRISTIQ
PREGADEX 75 MG CAPSULE,PREGADEX
PROTEC 2 GM Injection*,PROTEC
RAMIPRIL SANDOZ 5MG TABLET,RAMIPRIL
QUINOX 750MG F- C TABLET,QUINOX
RAZON 40 MG E.C TAB,RAZON
RAPIFEN 500MCG-ML AMP,RAPIFEN
RAPIDUS 50 MG F.C. TABLET,RAPIDUS
PYRAZINAMIDE ANTIBIOTICE,PYRAZINAMIDE
PROTON 40MG E.C TAB,PROTON
PROTOGYN,PROTOGYN
PULMICORT 0.5MG-ML (S.DOSE FOR NUB) SUSP,PULMICORT
PYRALVEX,PYRALVEX
PUREGON 600 I.U CARTRIDGE,PUREGON
PULMICORT0.25MG-ML SINGLE DOSE PLASTIC U,PULMICORTMGML
PERITONEAL DIALYSIS (F-C) WITH 1.36% DEXTROSE,PERITONEAL
PERIACTIN 4MG TABLETS,PERIACTIN
PERGOVERIS 150/75 IU vial,PERGOVERIS
PEPTAZOLE 30MG CAPSULE,PEPTAZOLE
PEPSOLAN 40 MG Powder for solution for injection,PEPSOLAN
PENTOLATE 1% EYE DROPS,PENTOLATE
PECTAL 100MG\5ML SYRUP,PECTAL
PAXITAB 40MG TABLET,PAXITAB
PAROXAT 30MG F-C TABLETS,PAROXAT
PARIET 20MG E.C TAB,PARIET
PEDIAMOL 100MG-ML ORAL DROPS,PEDIAMOL
PEGASYS 180 MCG-0.5ML PRE-FILLED SYRINGE,PEGASYS
PENTASA 500 MG SLOW RELEASE TABLET,PENTASA
PENTAGLOBIN AMP I.V,PENTAGLOBIN
PONSTAN FORTE 500 mg film-coated tablet,PONSTAN
POLYVALENT SNAKE ANTIVENUM-EQUINE 10 ML AMPULE,POLYVALENT
POLYTAR 1% LIQUID SHAMPOO,POLYTAR
PLAVIX 75 MG TABLET,PLAVIX
POTASSIUM ACETATE INJ F.T.V. 40MEQ,POTASSIUM
PREDO 5MG-5ML SYRUP,PREDO
PREDNISOLONE,PREDNISOLONE
PRED FORTE OPTH. SUSP,PRED
PRECEDEX 100 MCG -ML IV. VIAL,PRECEDEX
PRADAXA 75MG CAPSULES,PRADAXA
PLASMANATE 5% SOLUTION FOR I.V. INJECTION,PLASMANATE
PLASMA PROTEIN FRACTION 5% SOLUTION,PLASMA
PHENTOLEP 50MG-ML AMPOULE,PHENTOLEP
PHENICOL 1% OPTHALMIC OINTMENT,PHENICOL
PERJETA 420 mg Concentrate for solution for infusion,PERJETA
PHILAQUIN FORTE 4% CREAM,PHILAQUIN
PLASBUMIN 20%,PLASBUMIN
PK-MERZ,PKMERZ
PIPERACILLIN - TAZOPACTAM SANDOZ 2.25GM VIAL,PIPERACILLIN
PIGMANORM,PIGMANORM
PICOPREP POWDER FOR ORAL SOLUTION,PICOPREP
PICO 7.5MG-ML ORAL DROPS,PICO
PHYSIOTENS O.4 MG F.C.TAB,PHYSIOTENS
REBIF 22 MCG PRE-FILLED SYRINGE,REBIF
NOSPASM 10 MG TAB,NOSPASM
MABTHERA 10MG-1ML CONC. FOR I.V INFUSION,MABTHERA
MAALOX SUSPENSION,MAALOX
LYRICA 75 MG CAPSULES,LYRICA
LUVERIS 75 I.U. POWDER FOR SOLU. FOR INJ,LUVERIS
LUSTRAL 50MG TAB,LUSTRAL
MALARONE,MALARONE
MAGNESIUM SULPHATE 10% Injection*,MAGNESIUM
LUMIGAN 0.1MG/ML EYE DROPS,LUMIGAN
MAGNACEF 200MG CAP.,MAGNACEF
MADOPAR 250 MG TABS,MADOPAR
LORINEX 0.5MG-1ML SYRUP,LORINEX
LORINE 5MG-5ML SYRUP,LORINE
LORINASE SYRUP,LORINASE
Purout 100 MG TABLETS,PUROUT
LORANO 10MG TABLETS,LORANO
LORAMAX 10 mg tablet,LORAMAX
LORAHIST 10 mg tablet,LORAHIST
LORADAY 5 MG - 5 ML SYRUP,LORADAY
LORVAST 10 MG F-C TABLETS,LORVAST
LOXTRA EYE DROP,LOXTRA
LOXOL 50MG TABLET,LOXOL
LOWVASC 5MG CAPSULE,LOWVASC
LOWRAC 5MG CAPSULE,LOWRAC
LOTEVAN 5/160MG FILM COATED TABLET,LOTEVAN
LOTENSE 5MG CAP,LOTENSE
LOSEC MUPS 20MG TAB,LOSEC
MEGION 0.5GM I.V INJECTION,MEGION
MEGAMOX 625 MG TAB,MEGAMOX
ZOYLEX  5% CREAM,ZOYLEX
MEIACT 200 MG FILM COATED TABLETS,MEIACT
MESPORIN 1000 I.V,MESPORIN
MEPHAQUIN LACTAB,MEPHAQUIN
MENTEX SYRUP,MENTEX
MENOGON 75 I.U FSH & 75 I.U LH AMPOULES,MENOGON
MENACTRA 4 MCG SOLUTION FOR INJECTION,MENACTRA
MANNITOL 10% INFUSION,MANNITOL
MEDROL 4 mg tablet,MEDROL
MEDICAINE 2% CARTRIDGE,MEDICAINE
MAXIL 1500 VIAL,MAXIL
MARVELON TAB,MARVELON
MAXIM 400MG FILM COATED TABLETS,MAXIM
MEBAGEN,MEBAGEN
MEDAFEN 100MG-5ML SUSPENSION,MEDAFEN
MEDACIN -T 1% TOPICAL SOLUTION,MEDACIN
MEDACEF 500MG CAPSULES,MEDACEF
LOPRAM 20MG F.C. TABLETS,LOPRAM
LOPID,LOPID
LEJAM 30MG FILM COATED TABLET,LEJAM
LEDO 5% W-W OINTMENT,LEDO
LECITAL 20MG F.C. CAPLETS,LECITAL
LAXOLAC SYRUP,LAXOLAC
LAXO,LAXO
LATANOCOM OPHTHALMIC SOLUTION,LATANOCOM
LATANO 0.005% W-V OPHTHALMIC SOLUTION,LATANO
LENDOMAX 70 MG TABLETS,LENDOMAX
LERCADIP 10MG F.C.TABLET,LERCADIP
LEVOZAL 5 MG FILM COATED TABLET,LEVOZAL
LEVOX 750MG FILM COATED TABLET,LEVOX
LEVOPHED,LEVOPHED
LASIX TAB 40 MG,LASIX
LEVONIC 500MG FILM COATED TABLETS,LEVONIC
LEVITRA 5MG TABLET,LEVITRA
LEVEMIR FLEX PEN 100IU\ML,LEVEMIR
LEUKAST 10MG FILM COATED TABLETS,LEUKAST
LEVOFLOX 500MG F.C. TABLET,LEVOFLOX
LAMISIL ONCE 1% CUTANEOUS SOLUTION,LAMISIL
LAMIFEN 250MG TABLET,LAMIFEN
LAMICTAL,LAMICTAL
LAMOTRIX 100MG TABLET,LAMOTRIX
LAPRIL 5 mg tablet,LAPRIL
LAPRIX 5MG COATED TABLET,LAPRIX
LANTUS 100 I.U - ML VIAL,LANTUS
LANSOMID 30 MG CAPSULE,LANSOMID
LIVOSTIN NASAL SPRAY 0.5MG-ML,LIVOSTIN
LIVIAL 2.5MG TAB,LIVIAL
LIVAZO 4 mg film-coated tablets,LIVAZO
LOCERYL 5% NAIL LACQUER,LOCERYL
LONZET 30MG CAPSULES,LONZET
LOHIST 5 MG-5 ML SYRUP,LOHIST
LOFRAL 5MG TABLETS,LOFRAL
LOCOID OINT 0.1%,LOCOID
LOGYNON TAB,LOGYNON
LISINO 5MG TABLET,LISINO
LINOPRIL 10MG TABLET,LINOPRIL
LIDOCAINE HCL EMERGENCY SYRINGE 2%,LIDOCAINE
LEXOTANIL TAB. 3MG,LEXOTANIL
LINZ 20 MG CAPSULE,LINZ
LIOCAINE 2% GEL,LIOCAINE
LIPOFUNDIN MCT-LCT 20% Infusion*,LIPOFUNDIN
LIORESAL 25MG TAB,LIORESAL
NERVAX 75MG CAPSULES,NERVAX
NEOXIDIL 2% SOLN.,NEOXIDIL
NEOXICAM 7.5MG TABLETS,NEOXICAM
NEOVENTIL 2MG-5ML SYRUP,NEOVENTIL
NEOTIGASON 25MG CAPS,NEOTIGASON
NEOSTIGMINE METHYLSULFATE 0.5 MG/ML AMPOULE,NEOSTIGMINE
NEORIN 5MG F.C. TABLET,NEORIN
NEURO-B FILM COATED TABLETS,NEUROB
NEUROBION ampoules,NEUROBION
NEXAVAR 200 MG F-C TABLETS,NEXAVAR
NEUROVIT AMPOULES,NEUROVIT
NEURORUBINE SOLUTION,NEURORUBINE
NEURORUBINE-FORTE,NEURORUBINEFORTE
NEOPRED - P,NEOPRED
NEUROPLEX 400MG CAPSULES,NEUROPLEX
NEURONTIN,NEURONTIN
NEUROCOMB I.M INJECTION,NEUROCOMB
NEOMOX 250MG-5ML SUSPENSION,NEOMOX
NEOMOL 120MG-5ML SUSPENSION,NEOMOL
NAROPIN 7.5MG-ML AMP,NAROPIN
NAPROX D.S 500MG TAB,NAPROX
NAPROTEX 500 mg tablet,NAPROTEX
NAPHCON-A EYE DROPS,NAPHCONA
NATRILIX 1.5 MG S.R TAB,NATRILIX
NAVELBINE 10MG-ML I-V VIAL,NAVELBINE
NEODEX 0.1 E-E DROP,NEODEX
NEODAY 5MG-5ML SYRUP,NEODAY
NEOCIPRO 500MG F.C. TABLETS,NEOCIPRO
NEBILET 5MG TABLETS,NEBILET
NEBIDO 1000 MG- 4 ML SOLUTION FOR INJ,NEBIDO
NAXONE 0.4MG-ML INJ,NAXONE
NORACTONE,NORACTONE
NORPROLAC 75MCG TABLETS,NORPROLAC
NOROXIN 400MG TABLETS,NOROXIN
NORMOTEN 50 MG F.C. TAB,NORMOTEN
NORMAL SALINE I.V. INFUSION,NORMAL
NIMOTOP 30MG TAB,NIMOTOP
NICOTINELL 1MG LOZENGES,NICOTINELL
NITRODERM TTS 5 PATCHES,NITRODERM
NOMAL 50 MG CAPSULE,NOMAL
NOLVADEX-D TAB 20MG,NOLVADEXD
NOLVADEX 10 MG TABs,NOLVADEX
NIZORAL CREAM 2%,NIZORAL
MYFORTIC 360 MG E.C.TABLET,MYFORTIC
MYDRIACYL 1% EYE DROPS,MYDRIACYL
MYDFRIN 2.5% DROPS,MYDFRIN
MIDROXIL 500MG\5ML SUSP.,MIDROXIL
MIDRONE EXTRA TAB,MIDRONE
MIDAFLEX 500MG CAPSULE,MIDAFLEX
MICONAZ 2% POWDER,MICONAZ
MINIMS TROPICAMIDE 1% W-V,MINIMS
MICOCORT CREAM,MICOCORT
MICARDIS PLUS,MICARDIS
METHOTREXATE 1G-10ML INJ.FOR I.V OR I.M,METHOTREXATE
METHERGINE 0.2MG-ML AMPULES,METHERGINE
METFORMIN HEXAL 1000 MG FILM COATED TABLETS,METFORMIN
METFOR 850 MG TAB,METFOR
METALYSE 10000 U I.V VIAL,METALYSE
MIACIN 500MG-2ML AMP,MIACIN
MIACALCIC AMP 50 IU-ML,MIACALCIC
MEVA 135MG F.C.TABLET,MEVA
METRONIDAZOLE 500MG/100ML INTRAVENOUS INFUSION,METRONIDAZOLE
METHYCOBAL 500 MCG TABLET,METHYCOBAL
MINIRIN MELT 240MCG ORAL LYOPHILISATE TABLET,MINIRIN
MUCOFALK,MUCOFALK
MUCINEX 600MG EXTENDED RELEASE BI-LAYER TABLET,MUCINEX
MOVEN 7.5MG CAPSULE,MOVEN
MOTILIUM TAB 10MG,MOTILIUM
MONUROL 3G SACHETS,MONUROL
MONTEL 5MG CHEWABLE TABLET,MONTEL
MUCOFREE 4MG-5ML SYRUP,MUCOFREE
MUCOGEL,MUCOGEL
MUCOSOLVAN 30MG-5ML ORAL LIQUID,MUCOSOLVAN
MULTIPARIN 1000 UNITS-ML INJ,MULTIPARIN
"MYCOSAT 100, 000IU\ML ORAL SUSP",MYCOSAT
MYCOLESS CREAM,MYCOLESS
MYCOHEAL 400MG VAGINAL SUPPOSITORIES,MYCOHEAL
MYCAMINE 50-10ML VIAL,MYCAMINE
MONOZIDE 25MG TAB,MONOZIDE
MITOXANTRON EBEWE 2MG-1ML SOL. FOR INFU,MITOXANTRON
MIRZAGEN 30 mg film-coated tablet,MIRZAGEN
MIRENA 52 MG INTRAUTERINE DELIVERY SYSTEM (IUS),MIRENA
MIRCERA 75MCG-0.3ML SOLN. FOR INJ,MIRCERA
MIXTARD 30,MIXTARD
MIRAGEL 2% ORAL GEL,MIRAGEL
MINOXIL 5% SOLUTION,MINOXIL
MONOPARIN 25000 U-ML INJ,MONOPARIN
MONOCEF 500MG CAPSULE,MONOCEF
MOMETAMED 0.1% W-W CREAM,MOMETAMED
MODURETIC 5-50MG TABLETS,MODURETIC
MOBIC 7.5MG TAB,MOBIC
MOFETAB 500 MG FILM COATED TABLET,MOFETAB
LACTULOSE syrup,LACTULOSE
RECOFOL 10MG-ML INJECTION,RECOFOL
UNIFED DM SYRUP,UNIFED
UNI FRESH 0.5% UNIT DOSE EYE DROPS,UNI
UNASYN 500:250MG VIAL,UNASYN
UMAN ALBUMIN 20% SOLUTION FOR INFUSION,UMAN
ULTRAVIST300,ULTRAVIST
UNIPROST 4 MG TABLETS,UNIPROST
UNITUM 5% GEL,UNITUM
UVAMIN 100MG RETARD CAPSULES,UVAMIN
URSOFALK 250MG CAPSULE,URSOFALK
"UROMITEXAN 600 MG, film coated tablet",UROMITEXAN
URITAB XL 10MG EXTENDED RELEASE TABLETS,URITAB
URILAX 10MG FILM COATED TABLET,URILAX
URALYT-U GRANULES,URALYTU
UNIZYM SYRUP,UNIZYM
UNIVIT-E 100MG CAPSULE,UNIVITE
UNIVIT-A FORT 50000 I.U. CAPSULE,UNIVITA
TYMER 0.3% EYE DROP,TYMER
TYLENOL SUPP 350 MG,TYLENOL
TYGACIL 50MG LYOP. POW. FOR I.V.INFUSION,TYGACIL
TWYNSTA,TWYNSTA
TWINRIX ADULT MONODOSE PREFLLED SYRINGE,TWINRIX
TRUXAL TABLETS 50MG,TRUXAL
TRIVASTAL RETARD 50MG TAB,TRIVASTAL
"TYPHIM VI, solution for injection in prefilled syringe polysaccharide typhoid vaccine",TYPHIM
ULTRADERM,ULTRADERM
UCIDERM -B CREAM,UCIDERM
U-CEF 500MG F.C. TABLETS,UCEF
VALCYTE 450MG FILM - COATED TABLETS,VALCYTE
VALIUM AMP 10MG-2ML,VALIUM
VERO 50 mg film-coated tablets,VERO
VERMOX SUSPN 2%,VERMOX
VERINE SR 200MG SUSTAINED RELEASED CAP,VERINE
VENTOLIN RESPIRATORY SOLUTIN,VENTOLIN
VERSATIS 5% MEDICATED PLASTER,VERSATIS
VESICARE 10 mg film-coated tablet,VESICARE
VICTOZA 6MG/ML SOLUTION FOR INJECTION,VICTOZA
VICKS VAPORUB OINT,VICKS
VIAGRA 50MG F.C TAB,VIAGRA
VEXAL XR 75 MG EXTENDED RELEASE CAPSULE,VEXAL
VALDOXAN 25MG FILM COATED TABLET,VALDOXAN
VAQTA VACCINE 50 U VIAL,VAQTA
VALTREX,VALTREX
VALOPRA 57.64 MG-ML SYRUP,VALOPRA
VARILRIX 2000 PFU -0.5ML VIAL,VARILRIX
VASCODIPINE,VASCODIPINE
VENEX XR 75MG CAPSULE,VENEX
VELCADE 3.5MG POWDER FOR I.V. INJECTION,VELCADE
VECTIBIX 20MG/ML CONC. SOLUTION FOR INFUSION,VECTIBIX
VENORUTON 300MG CAP,VENORUTON
VAVO 2% SHAMPOO,VAVO
VASTA 40MG F.C. TABLETS,VASTA
VASTAREL MR 35MG MODIFIED RELEASE TABLET,VASTAREL
TRIPOFED SYRUP,TRIPOFED
TEGRETOL TAB 200MG,TEGRETOL
TAZORAX 4.5 GM Powder for injection,TAZORAX
TAZOLINE0.5GM VIAL I.M+5MLSOLV.LIDOCAINE,TAZOLINEGM
TAZOLINE 1GM VIAL IV+10ML WATER FOR INJ.,TAZOLINE
TAZOCIN 4.5GM VIAL + EDTA,TAZOCIN
TEKAM 50MG-ML 10ML VIAL,TEKAM
TERRELL 100% VAPOUR LIQUID FOR INHALATION,TERRELL
TERFINA CREAM,TERFINA
TENORMIN TAB 50MG,TENORMIN
TENORETIC TAB,TENORETIC
TESTOVIRON DEPOT 250MG-1ML AMP,TESTOVIRON
TAVANIC 5 MG -1 ML SOLUTION I.V INFUSION,TAVANIC
TABUVAN 160 MG FILM COATED TABLET,TABUVAN
TABUNEX 0.05% NASAL SPRAY,TABUNEX
TABUFLU 75MG CAPSULES,TABUFLU
TABOCINE 100,TABOCINE
TABIXA 10MG FILM COATED TABLET,TABIXA
TABIVIR 300MG F-C TABLETS,TABIVIR
TABIFLEX COOL 1% GEL,TABIFLEX
TABICLOR MR 750MG F.C TAB,TABICLOR
TABETA 0.1%SCALP APPLICATION,TABETA
TachoSil sealant matrix,TACHOSIL
TASIGNA 200MG CAPSULES,TASIGNA
TAMIFLU 75 MG CAPSULE,TAMIFLU
TAKEPRON 30MG CAPS,TAKEPRON
TETAVAX 40 I.U INJ.,TETAVAX
TEVETEN 600MG TAB,TEVETEN
TRACTOCILE concentrate for solution for infusion,TRACTOCILE
TRACLEER 62.5 MG FILM COATED TABLET,TRACLEER
TRABILIN 100MG AMPOULES,TRABILIN
TOVAST 40 MG F-C TABLETS,TOVAST
TOTAM 1GM IV\IM INJECTION,TOTAM
TORVACOL 40MG F.C. TABLETS,TORVACOL
TRACUTIL SOLUSION FOR INFUSION AMPOULE,TRACUTIL
TRAJENTA 5MG FILM COATED TABLET,TRAJENTA
TRIPACEL VACCINE,TRIPACEL
TRIAXONE 1GM VIAL I.V +10ML WATER FOR INJ,TRIAXONE
TOPRAZOLE 40 MG E.C TABLETS,TOPRAZOLE
TRENTAL TAB 400MG,TRENTAL
TIGER BALSAM,TIGER
TIDILOR 5 MG - 5 ML SYRUP,TIDILOR
TICANASE 0.05% NASAL SPRAY,TICANASE
THEO-DUR TAB 300MG,THEODUR
TILAX 2 MG TABLET,TILAX
TILCOTIL TAB 20MG,TILCOTIL
TOPAMAX 25MG-TAB. F.C.TAB.,TOPAMAX
TOFRANIL 25 MG 50 TAB,TOFRANIL
TOBRACIN 0.3% EYE OINTMENT,TOBRACIN
TIVICAY 50 mg Tablet,TIVICAY
VIDROP ORAL DROPS,VIDROP
ZINOPRIL 20 MG TABLET,ZINOPRIL
ZINNAT,ZINNAT
ZINACEF 750 mg,ZINACEF
AZOLID 500MG F.C. TABLETS,AZOLID
ZIMAX 250MG CAP.,ZIMAX
ZINOXIME 1.5GM VIAL FOR I.V,ZINOXIME
ZOLECIN 1GM VIAL I.V,ZOLECIN
ZOLADEX DEPOT 3.6MG S-C INJ SYRINGE,ZOLADEX
ZOCIN 250MG CAPSULE,ZOCIN
ZITHROMAX 250MG CAPS,ZITHROMAX
ZINOXIMOR 500MG F.C.TABLET,ZINOXIMOR
ZIDIME 2GM I.V INJ,ZIDIME
ZEROX 200MG-5ML POWDER FOR ORAL SUSP.,ZEROX
ZENORIT 8 mg film-coated tablets,ZENORIT
ZEMITRON 8MG F-C TABLET,ZEMITRON
ZELAX 20MG FILM COATED CAPLET,ZELAX
ZEFFIX,ZEFFIX
ZERTAZINE 5MG\5ML SYRUP,ZERTAZINE
ZIAGEN 300MG TAB,ZIAGEN
ZETRON 250 MG CAPSULE,ZETRON
ZETEX 10 mg tablet,ZETEX
ZETACORT CREAM,ZETACORT
ZETA 20MG OINTMENT TUBE,ZETA
ZESTRIL 5MG TAB,ZESTRIL
ZOLPIGEN,ZOLPIGEN
ZOMIDOR 2% EYE DROPS,ZOMIDOR
LOCASONE 0.1% cream,LOCASONE
FLUDARA 50 mg injection,FLUDARA
HYDROLYTE ORAL REHYDRATION SOLUTION,HYDROLYTE
YONDELIS 1 mg powder for concentrate for solution for infusion,YONDELIS
LIPICURE 40 mg film-coated tablet,LIPICURE
RENNIE TAB,RENNIE
IRBETEL 150 mg film-coated tablet,IRBETEL
CO-IRBETEL 162.5 mg film-coated tablet,COIRBETEL
CO-VALISTA,COVALISTA
VALISTA 320 mg film-coated tablet,VALISTA
XGEVA 120 mg solution for injection,XGEVA
RENVELA 800 mg film-coated tablet,RENVELA
STIVARGA 40 mg film-coated tablet,STIVARGA
ZOVIRAX 200MG\5ML SUSP,ZOVIRAX
ZYNOVATE 0.1% CREAM,ZYNOVATE
AXOR 30 mg film-coated tablet,AXOR
ENDOLET 90 mg film-coated tablet,ENDOLET
DESOGEST 0.075 mg tablet,DESOGEST
ZYRTEC 10MG F.C.TAB,ZYRTEC
ZYVOX 2 MG/ML SOLUTION FOR INFUSION,ZYVOX
WAFI 100 mg film-coated tablets,WAFI
VOTREX 75MG-3ML AMP,VOTREX
VOMINORE TAB,VOMINORE
VOLTIC -D 50MG DISPERSIBLE TABLETS,VOLTIC
VOLTAREN RETARD 100MG TAB,VOLTAREN
WATER FOR INJECTION,WATER
WATENE 0.1% GEL,WATENE
WARTEC 0.15% W-W CREAM,WARTEC
VISCOR 20MG F.C. TABLETS,VISCOR
VISCODRIL EXPECTORANT 100ML SYRUP,VISCODRIL
VISANNE 2MG TABLETS,VISANNE
VIRUSTAT 200MG TAB,VIRUSTAT
VIROL,VIROL
VISIPAQUE,VISIPAQUE
VIVIDRIN 2% EYE DROPS,VIVIDRIN
VITANERVE F.C TAB,VITANERVE
VOCORT CREAM,VOCORT
XYLOCAINE DENTAL ADRENALINE SOLU FOR INJ,XYLOCAINE
XOLAMOL EYE DROP,XOLAMOL
XYLO-MEPHA 0.1% NASAL SPRAY,XYLOMEPHA
XYLOMET Adult nasal drops,XYLOMET
XYLONOR SPRAY,XYLONOR
ZAMUR 500 MG F- C TABLETS,ZAMUR
XOLAIR 150MG Powder for injection,XOLAIR
XYNTHA 500 I.U. POWDER FOR SOLUTION FOR INJECTION,XYNTHA
XYLOPHIL 2% GEL,XYLOPHIL
XYZAL 5MG F.C.TABLET,XYZAL
XOLA OPTHALMIC SOLUTION,XOLA
XERACTAN 20 MG SOFT GELATIN CAPSULE,XERACTAN
WINEX 400MG CAP,WINEX
XALACOM EYE DROP,XALACOM
WAXSOL,WAXSOL
XALATAN 50MCG\ML EYE DROP,XALATAN
XANAX 0.5 MG TABLET,XANAX
XENICAL 120MG CAPSULE,XENICAL
