Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
IMIGLUCERASE,https://www.drugs.com/dosage/imiglucerase.html,Gaucher Disease,Gaucher Disease |,,,[Adult] Gaucher Disease // [Pediatric] Gaucher Disease |
ZIDOVUDINE,https://www.drugs.com/dosage/zidovudine.html,HIV Infection | Reduction of Perinatal Transmission of HIV | Nonoccupational Exposure | Occupational Exposure,HIV Infection | Reduction of Perinatal Transmission of HIV | Nonoccupational Exposure |,,,[Adult] HIV Infection | Reduction of Perinatal Transmission of HIV | Nonoccupational Exposure | Occupational Exposure // [Pediatric] HIV Infection | Reduction of Perinatal Transmission of HIV | Nonoccupational Exposure |
ERDAFITINIB,https://www.drugs.com/dosage/erdafitinib.html,Urothelial Carcinoma |,,,,[Adult] Urothelial Carcinoma |
SUMATRIPTAN,https://www.drugs.com/dosage/sumatriptan.html,Migraine | Cluster Headache |,,,,[Adult] Migraine | Cluster Headache |
VEDOLIZUMAB,https://www.drugs.com/dosage/vedolizumab.html,Crohn's Disease - Maintenance | Ulcerative Colitis |,,,,[Adult] Crohn's Disease - Maintenance | Ulcerative Colitis |
PREDNISOLONE,https://www.drugs.com/dosage/prednisolone.html,Multiple Sclerosis | Immunosuppression | Ankylosing Spondylitis | Neoplastic Diseases | Rheumatic Heart Disease | Adrenocortical Insufficiency | Corneal Ulcers | Keratitis | Pemphigus | Mycosis Fungoides | Psoriatic Arthritis | Epicondylitis | Iridocyclitis | Chorioretinitis | Choroiditis | Berylliosis | Synovitis | Thrombocythemia | Stevens-Johnson Syndrome | Serum Sickness | Erythema Multiforme | Hemolytic Anemia | Anti-inflammatory | Allergic Reaction | Aspiration Pneumonia | Bursitis | Dermatitis Herpetiformis | Hypercalcemia of Malignancy | Idiopathic (Immune) Thrombocytopenic Purpura | Loeffler's Syndrome | Osteoarthritis | Polymyositis/Dermatomyositis | Psoriasis | Rheumatoid Arthritis | Sarcoidosis | Seborrheic Dermatitis | Systemic Lupus Erythematosus | Ulcerative Colitis - Active | Uveitis | Iritis | Optic Neuritis | Gouty Arthritis | Nephrotic Syndrome | Asthma - Acute | Asthma - Maintenance,Iridocyclitis | Adrenocortical Insufficiency | Corneal Ulcers | Keratitis | Pemphigus | Mycosis Fungoides | Juvenile Rheumatoid Arthritis | Psoriatic Arthritis | Epicondylitis | Dermatitis Herpetiformis | Choroiditis | Synovitis | Thrombocythemia | Stevens-Johnson Syndrome | Serum Sickness | Aspiration Pneumonia | Allergic Reaction | Immunosuppression | Bursitis | Hypercalcemia of Malignancy | Loeffler's Syndrome | Osteoarthritis | Polymyositis/Dermatomyositis | Psoriasis | Sarcoidosis | Seborrheic Dermatitis | Systemic Lupus Erythematosus | Ulcerative Colitis - Active | Uveitis | Iritis | Optic Neuritis | Hemolytic Anemia | Neoplastic Diseases | Asthma - Acute | Nephrotic Syndrome |,,,[Adult] Multiple Sclerosis | Immunosuppression | Ankylosing Spondylitis | Neoplastic Diseases | Rheumatic Heart Disease | Adrenocortical Insufficiency | Corneal Ulcers | Keratitis | Pemphigus | Mycosis Fungoides | Psoriatic Arthritis | Epicondylitis | Iridocyclitis | Chorioretinitis | Choroiditis | Berylliosis | Synovitis | Thrombocythemia | Stevens-Johnson Syndrome | Serum Sickness | Erythema Multiforme | Hemolytic Anemia | Anti-inflammatory | Allergic Reaction | Aspiration Pneumonia | Bursitis | Dermatitis Herpetiformis | Hypercalcemia of Malignancy | Idiopathic (Immune) Thrombocytopenic Purpura | Loeffler's Syndrome | Osteoarthritis | Polymyositis/Dermatomyositis | Psoriasis | Rheumatoid Arthritis | Sarcoidosis | Seborrheic Dermatitis | Systemic Lupus Erythematosus | Ulcerative Colitis - Active | Uveitis | Iritis | Optic Neuritis | Gouty Arthritis | Nephrotic Syndrome | Asthma - Acute | Asthma - Maintenance // [Pediatric] Iridocyclitis | Adrenocortical Insufficiency | Corneal Ulcers | Keratitis | Pemphigus | Mycosis Fungoides | Juvenile Rheumatoid Arthritis | Psoriatic Arthritis | Epicondylitis | Dermatitis Herpetiformis | Choroiditis | Synovitis | Thrombocythemia | Stevens-Johnson Syndrome | Serum Sickness | Aspiration Pneumonia | Allergic Reaction | Immunosuppression | Bursitis | Hypercalcemia of Malignancy | Loeffler's Syndrome | Osteoarthritis | Polymyositis/Dermatomyositis | Psoriasis | Sarcoidosis | Seborrheic Dermatitis | Systemic Lupus Erythematosus | Ulcerative Colitis - Active | Uveitis | Iritis | Optic Neuritis | Hemolytic Anemia | Neoplastic Diseases | Asthma - Acute | Nephrotic Syndrome |
ISATUXIMAB,https://www.drugs.com/dosage/isatuximab.html,Multiple Myeloma,,,,[Adult] Multiple Myeloma
CANAGLIFLOZIN,https://www.drugs.com/dosage/canagliflozin.html,Diabetes Type 2 | Cardiovascular Risk Reduction |,,,,[Adult] Diabetes Type 2 | Cardiovascular Risk Reduction |
CARVEDILOL,https://www.drugs.com/dosage/carvedilol.html,Congestive Heart Failure | Left Ventricular Dysfunction | Hypertension |,,,,[Adult] Congestive Heart Failure | Left Ventricular Dysfunction | Hypertension |
IOVERSOL,https://www.drugs.com/dosage/ioversol.html,Cerebral Arteriography | Peripheral Arteriography | Visceral Arteriography | Renal Arteriography | Coronary Arteriography | Left Ventriculography | Intra-arterial Digital Subtraction Angiography | Venography | Head Imaging | Body Imaging | Intravenous Digital Subtraction Angiography | Intravenous Urography,Pediatric Angiocardiography | Head Imaging | Body Imaging | Intravenous Urography |,,,[Adult] Cerebral Arteriography | Peripheral Arteriography | Visceral Arteriography | Renal Arteriography | Coronary Arteriography | Left Ventriculography | Intra-arterial Digital Subtraction Angiography | Venography | Head Imaging | Body Imaging | Intravenous Digital Subtraction Angiography | Intravenous Urography // [Pediatric] Pediatric Angiocardiography | Head Imaging | Body Imaging | Intravenous Urography |
CILOSTAZOL,https://www.drugs.com/dosage/cilostazol.html,Intermittent Claudication |,,,,[Adult] Intermittent Claudication |
ARIPIPRAZOLE,https://www.drugs.com/dosage/aripiprazole.html,Schizophrenia | Bipolar Disorder | Agitated State | Depression,Schizophrenia | Bipolar Disorder | Autism | Tourette's Syndrome |,,,[Adult] Schizophrenia | Bipolar Disorder | Agitated State | Depression // [Pediatric] Schizophrenia | Bipolar Disorder | Autism | Tourette's Syndrome |
POSACONAZOLE,https://www.drugs.com/dosage/posaconazole.html,Aspergillosis - Invasive | Candidemia | Oral Thrush,Aspergillosis - Invasive | Candidemia | Oral Thrush |,,,[Adult] Aspergillosis - Invasive | Candidemia | Oral Thrush // [Pediatric] Aspergillosis - Invasive | Candidemia | Oral Thrush |
SORBITOL,https://www.drugs.com/dosage/sorbitol.html,Constipation,Constipation |,,,[Adult] Constipation // [Pediatric] Constipation |
PALBOCICLIB,https://www.drugs.com/dosage/palbociclib.html,Breast Cancer |,,,,[Adult] Breast Cancer |
TROSPIUM,https://www.drugs.com/dosage/trospium.html,Urinary Incontinence | Urinary Frequency,,,,[Adult] Urinary Incontinence | Urinary Frequency
OBINUTUZUMAB,https://www.drugs.com/dosage/obinutuzumab.html,Chronic Lymphocytic Leukemia | Follicular Lymphoma |,,,,[Adult] Chronic Lymphocytic Leukemia | Follicular Lymphoma |
PROGESTERONE,https://www.drugs.com/dosage/progesterone.html,Amenorrhea | Uterine Bleeding | Endometrial Hyperplasia - Prophylaxis | Fetal Maturation | Progesterone Insufficiency | Female Infertility |,,,,[Adult] Amenorrhea | Uterine Bleeding | Endometrial Hyperplasia - Prophylaxis | Fetal Maturation | Progesterone Insufficiency | Female Infertility |
"DAPAGLIFLOZIN, SAXAGLIPTIN",https://www.drugs.com/dosage/dapagliflozin-saxagliptin.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
DAPAGLIFLOZIN,https://www.drugs.com/dosage/dapagliflozin.html,Diabetes Type 2 | Heart Failure with Reduced Ejection Fraction | Chronic Kidney Disease |,,,,[Adult] Diabetes Type 2 | Heart Failure with Reduced Ejection Fraction | Chronic Kidney Disease |
PANTOPRAZOLE,https://www.drugs.com/dosage/pantoprazole.html,Erosive Esophagitis | Gastroesophageal Reflux Disease | Zollinger-Ellison Syndrome | Pathological Hypersecretory Conditions,Erosive Esophagitis | Gastroesophageal Reflux Disease |,,,[Adult] Erosive Esophagitis | Gastroesophageal Reflux Disease | Zollinger-Ellison Syndrome | Pathological Hypersecretory Conditions // [Pediatric] Erosive Esophagitis | Gastroesophageal Reflux Disease |
BUPRENORPHINE,https://www.drugs.com/dosage/buprenorphine.html,Opioid Use Disorder - Induction | Opioid Use Disorder - Maintenance | Pain | Chronic Pain,Pain | Opioid Use Disorder - Maintenance |,,,[Adult] Opioid Use Disorder - Induction | Opioid Use Disorder - Maintenance | Pain | Chronic Pain // [Pediatric] Pain | Opioid Use Disorder - Maintenance |
TIOTROPIUM,https://www.drugs.com/dosage/tiotropium.html,Chronic Obstructive Pulmonary Disease - Maintenance | Asthma - Maintenance,Asthma - Maintenance |,,,[Adult] Chronic Obstructive Pulmonary Disease - Maintenance | Asthma - Maintenance // [Pediatric] Asthma - Maintenance |
TELOTRISTAT ETHYL,https://www.drugs.com/dosage/telotristat-ethyl.html,Carcinoid Tumor | Carcinoid Syndrome |,,,,[Adult] Carcinoid Tumor | Carcinoid Syndrome |
PEGINTERFERON BETA-1A,https://www.drugs.com/dosage/peginterferon-beta-1a.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
SODIUM ZIRCONIUM CYCLOSILICATE,https://www.drugs.com/dosage/sodium-zirconium-cyclosilicate.html,Hyperkalemia |,,,,[Adult] Hyperkalemia |
Dimethyl Fumarate,https://www.drugs.com/dosage/dimethyl-fumarate.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
GALCANEZUMAB,https://www.drugs.com/dosage/galcanezumab.html,Migraine Prophylaxis | Cluster Headache |,,,,[Adult] Migraine Prophylaxis | Cluster Headache |
"DEXTROMETHORPHAN, GUAIFENESIN",https://www.drugs.com/dosage/dextromethorphan-guaifenesin.html,Cough,Cough |,,,[Adult] Cough // [Pediatric] Cough |
PONATINIB,https://www.drugs.com/dosage/ponatinib.html,Chronic Myelogenous Leukemia | Acute Lymphoblastic Leukemia |,,,,[Adult] Chronic Myelogenous Leukemia | Acute Lymphoblastic Leukemia |
SEVOFLURANE,https://www.drugs.com/dosage/sevoflurane.html,Anesthesia,Anesthesia |,,,[Adult] Anesthesia // [Pediatric] Anesthesia |
CLOTRIMAZOLE,https://www.drugs.com/dosage/clotrimazole.html,Oral Thrush,Oral Thrush |,,,[Adult] Oral Thrush // [Pediatric] Oral Thrush |
TILDRAKIZUMAB,https://www.drugs.com/dosage/tildrakizumab.html,Plaque Psoriasis |,,,,[Adult] Plaque Psoriasis |
CLOFARABINE,https://www.drugs.com/dosage/clofarabine.html,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia |,,,[Adult] Acute Lymphoblastic Leukemia // [Pediatric] Acute Lymphoblastic Leukemia |
OXALIPLATIN,https://www.drugs.com/dosage/oxaliplatin.html,Colorectal Cancer |,,,,[Adult] Colorectal Cancer |
LAPATINIB,https://www.drugs.com/dosage/lapatinib.html,Breast Cancer |,,,,[Adult] Breast Cancer |
MOGAMULIZUMAB,https://www.drugs.com/dosage/mogamulizumab.html,Mycosis Fungoides |,,,,[Adult] Mycosis Fungoides |
CLOPIDOGREL,https://www.drugs.com/dosage/clopidogrel.html,Acute Coronary Syndrome | Ischemic Stroke | Myocardial Infarction | Peripheral Arterial Disease |,,,,[Adult] Acute Coronary Syndrome | Ischemic Stroke | Myocardial Infarction | Peripheral Arterial Disease |
VELMANASE ALFA,https://www.drugs.com/dosage/velmanase-alfa.html,Mannosidosis,Mannosidosis |,,,[Adult] Mannosidosis // [Pediatric] Mannosidosis |
LETERMOVIR,https://www.drugs.com/dosage/letermovir.html,CMV Prophylaxis |,,,,[Adult] CMV Prophylaxis |
SUFENTANIL,https://www.drugs.com/dosage/sufentanil.html,Anesthesia | Labor Pain | Pain,Anesthesia |,,,[Adult] Anesthesia | Labor Pain | Pain // [Pediatric] Anesthesia |
PIRFENIDONE,https://www.drugs.com/dosage/pirfenidone.html,Idiopathic Pulmonary Fibrosis |,,,,[Adult] Idiopathic Pulmonary Fibrosis |
MELOXICAM,https://www.drugs.com/dosage/meloxicam.html,Osteoarthritis | Rheumatoid Arthritis | Pain,Juvenile Rheumatoid Arthritis |,,,[Adult] Osteoarthritis | Rheumatoid Arthritis | Pain // [Pediatric] Juvenile Rheumatoid Arthritis |
DARATUMUMAB,https://www.drugs.com/dosage/daratumumab.html,Multiple Myeloma |,,,,[Adult] Multiple Myeloma |
ROMOSOZUMAB,https://www.drugs.com/dosage/romosozumab.html,Osteoporosis |,,,,[Adult] Osteoporosis |
VENETOCLAX,https://www.drugs.com/dosage/venetoclax.html,Lymphoma | Leukemia,,,,[Adult] Lymphoma | Leukemia
FLUOXETINE,https://www.drugs.com/dosage/fluoxetine.html,Bulimia | Depression | Obsessive Compulsive Disorder | Panic Disorder | Premenstrual Dysphoric Disorder,Depression | Obsessive Compulsive Disorder |,,,[Adult] Bulimia | Depression | Obsessive Compulsive Disorder | Panic Disorder | Premenstrual Dysphoric Disorder // [Pediatric] Depression | Obsessive Compulsive Disorder |
SUNITINIB,https://www.drugs.com/dosage/sunitinib.html,Renal Cell Carcinoma | Gastrointestinal Stromal Tumor | Pancreatic Cancer |,,,,[Adult] Renal Cell Carcinoma | Gastrointestinal Stromal Tumor | Pancreatic Cancer |
BUROSUMAB,https://www.drugs.com/dosage/burosumab.html,Familial Hypophosphatemia | Osteomalacia,Familial Hypophosphatemia | Osteomalacia |,,,[Adult] Familial Hypophosphatemia | Osteomalacia // [Pediatric] Familial Hypophosphatemia | Osteomalacia |
LACOSAMIDE,https://www.drugs.com/dosage/lacosamide.html,Epilepsy | Seizures,Epilepsy | Seizures |,,,[Adult] Epilepsy | Seizures // [Pediatric] Epilepsy | Seizures |
LINACLOTIDE,https://www.drugs.com/dosage/linaclotide.html,Irritable Bowel Syndrome | Constipation,Irritable Bowel Syndrome | Constipation |,,,[Adult] Irritable Bowel Syndrome | Constipation // [Pediatric] Irritable Bowel Syndrome | Constipation |
TRIFLUOPERAZINE,https://www.drugs.com/dosage/trifluoperazine.html,Schizophrenia | Anxiety,Schizophrenia |,,,[Adult] Schizophrenia | Anxiety // [Pediatric] Schizophrenia |
AVELUMAB,https://www.drugs.com/dosage/avelumab.html,Merkel Cell Carcinoma | Urothelial Carcinoma | Renal Cell Carcinoma,Merkel Cell Carcinoma |,,,[Adult] Merkel Cell Carcinoma | Urothelial Carcinoma | Renal Cell Carcinoma // [Pediatric] Merkel Cell Carcinoma |
NITISINONE,https://www.drugs.com/dosage/nitisinone.html,Hereditary Tyrosinemia Type 1,Hereditary Tyrosinemia Type 1 |,,,[Adult] Hereditary Tyrosinemia Type 1 // [Pediatric] Hereditary Tyrosinemia Type 1 |
OFLOXACIN,https://www.drugs.com/dosage/ofloxacin.html,Bronchitis | Skin and Structure Infection | Pneumonia | Gonococcal Infection - Uncomplicated | Nongonococcal Urethritis | Chlamydia Infection | Cervicitis | Pelvic Inflammatory Disease | Cystitis | Urinary Tract Infection | Prostatitis | Epididymitis - Sexually Transmitted | Epididymitis - Non-Specific | Pyelonephritis | Shigellosis | Infectious Diarrhea | Salmonella Enteric Fever | Salmonella Gastroenteritis | Traveler's Diarrhea |,,,,[Adult] Bronchitis | Skin and Structure Infection | Pneumonia | Gonococcal Infection - Uncomplicated | Nongonococcal Urethritis | Chlamydia Infection | Cervicitis | Pelvic Inflammatory Disease | Cystitis | Urinary Tract Infection | Prostatitis | Epididymitis - Sexually Transmitted | Epididymitis - Non-Specific | Pyelonephritis | Shigellosis | Infectious Diarrhea | Salmonella Enteric Fever | Salmonella Gastroenteritis | Traveler's Diarrhea |
USTEKINUMAB,https://www.drugs.com/dosage/ustekinumab.html,Plaque Psoriasis | Psoriatic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis,Plaque Psoriasis |,,,[Adult] Plaque Psoriasis | Psoriatic Arthritis | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis // [Pediatric] Plaque Psoriasis |
MINOCYCLINE,https://www.drugs.com/dosage/minocycline.html,Bacterial Infection | Acne | Meningitis - Meningococcal | Meningococcal Meningitis Prophylaxis | Skin or Soft Tissue Infection | Skin and Structure Infection | Chancroid | Gonococcal Infection - Uncomplicated,Bacterial Infection | Acne | Skin or Soft Tissue Infection | Skin and Structure Infection |,,,[Adult] Bacterial Infection | Acne | Meningitis - Meningococcal | Meningococcal Meningitis Prophylaxis | Skin or Soft Tissue Infection | Skin and Structure Infection | Chancroid | Gonococcal Infection - Uncomplicated // [Pediatric] Bacterial Infection | Acne | Skin or Soft Tissue Infection | Skin and Structure Infection |
PIOGLITAZONE,https://www.drugs.com/dosage/pioglitazone.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
AMPICILLIN,https://www.drugs.com/dosage/ampicillin.html,Endocarditis | Meningitis | Septicemia | Gastroenteritis | Typhoid Fever | Urinary Tract Infection | Shigellosis | Intraabdominal Infection | Skin or Soft Tissue Infection | Pneumonia | Bronchitis | Upper Respiratory Tract Infection | Sinusitis | Pharyngitis | Bacterial Endocarditis Prophylaxis | Prevention of Perinatal Group B Streptococcal Disease | Surgical Prophylaxis | Peritonitis | Cutaneous Bacillus anthracis | Inhalation Bacillus anthracis | Gonococcal Infection - Uncomplicated,Bacterial Infection | Septicemia | Meningitis | Meningitis - Streptococcus Group B | Endocarditis | Pharyngitis | Sinusitis | Upper Respiratory Tract Infection | Bronchitis | Pneumonia | Skin or Soft Tissue Infection | Intraabdominal Infection | Shigellosis | Urinary Tract Infection | Typhoid Fever | Gastroenteritis | Bacterial Endocarditis Prophylaxis | Surgical Prophylaxis | Peritonitis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis |,,,[Adult] Endocarditis | Meningitis | Septicemia | Gastroenteritis | Typhoid Fever | Urinary Tract Infection | Shigellosis | Intraabdominal Infection | Skin or Soft Tissue Infection | Pneumonia | Bronchitis | Upper Respiratory Tract Infection | Sinusitis | Pharyngitis | Bacterial Endocarditis Prophylaxis | Prevention of Perinatal Group B Streptococcal Disease | Surgical Prophylaxis | Peritonitis | Cutaneous Bacillus anthracis | Inhalation Bacillus anthracis | Gonococcal Infection - Uncomplicated // [Pediatric] Bacterial Infection | Septicemia | Meningitis | Meningitis - Streptococcus Group B | Endocarditis | Pharyngitis | Sinusitis | Upper Respiratory Tract Infection | Bronchitis | Pneumonia | Skin or Soft Tissue Infection | Intraabdominal Infection | Shigellosis | Urinary Tract Infection | Typhoid Fever | Gastroenteritis | Bacterial Endocarditis Prophylaxis | Surgical Prophylaxis | Peritonitis | Inhalation Bacillus anthracis | Cutaneous Bacillus anthracis |
BUSULFAN,https://www.drugs.com/dosage/busulfan.html,Chronic Myelogenous Leukemia | Bone Marrow Transplantation,Chronic Myelogenous Leukemia | Bone Marrow Transplantation |,,,[Adult] Chronic Myelogenous Leukemia | Bone Marrow Transplantation // [Pediatric] Chronic Myelogenous Leukemia | Bone Marrow Transplantation |
FUROSEMIDE,https://www.drugs.com/dosage/furosemide.html,Ascites | Congestive Heart Failure | Edema | Nephrotic Syndrome | Renal Failure | Liver Cirrhosis | Pulmonary Edema | Hypertension,Edema |,,,[Adult] Ascites | Congestive Heart Failure | Edema | Nephrotic Syndrome | Renal Failure | Liver Cirrhosis | Pulmonary Edema | Hypertension // [Pediatric] Edema |
ERENUMAB,https://www.drugs.com/dosage/erenumab.html,Migraine Prophylaxis |,,,,[Adult] Migraine Prophylaxis |
VANDETANIB,https://www.drugs.com/dosage/vandetanib.html,Thyroid Cancer |,,,,[Adult] Thyroid Cancer |
TADALAFIL,https://www.drugs.com/dosage/tadalafil.html,Erectile Dysfunction | Pulmonary Hypertension | Benign Prostatic Hyperplasia |,,,,[Adult] Erectile Dysfunction | Pulmonary Hypertension | Benign Prostatic Hyperplasia |
OLANZAPINE,https://www.drugs.com/dosage/olanzapine.html,Bipolar Disorder | Schizophrenia | Depression | Agitated State,Schizophrenia | Bipolar Disorder | Depression |,,,[Adult] Bipolar Disorder | Schizophrenia | Depression | Agitated State // [Pediatric] Schizophrenia | Bipolar Disorder | Depression |
LASMIDITAN,https://www.drugs.com/dosage/lasmiditan.html,Migraine |,,,,[Adult] Migraine |
QUETIAPINE,https://www.drugs.com/dosage/quetiapine.html,Schizophrenia | Bipolar Disorder | Depression,Schizophrenia | Bipolar Disorder |,,,[Adult] Schizophrenia | Bipolar Disorder | Depression // [Pediatric] Schizophrenia | Bipolar Disorder |
NATALIZUMAB,https://www.drugs.com/dosage/natalizumab.html,Multiple Sclerosis | Crohn's Disease - Maintenance |,,,,[Adult] Multiple Sclerosis | Crohn's Disease - Maintenance |
OLOPATADINE,https://www.drugs.com/dosage/olopatadine.html,Allergic Rhinitis,Allergic Rhinitis |,,,[Adult] Allergic Rhinitis // [Pediatric] Allergic Rhinitis |
INCLISIRAN,https://www.drugs.com/dosage/inclisiran.html,Hyperlipidemia |,,,,[Adult] Hyperlipidemia |
POTASSIUM IODIDE,https://www.drugs.com/dosage/potassium-iodide.html,Cough | Radiation Emergency,Radiation Emergency |,,,[Adult] Cough | Radiation Emergency // [Pediatric] Radiation Emergency |
DACLATASVIR,https://www.drugs.com/dosage/daclatasvir.html,Chronic Hepatitis C |,,,,[Adult] Chronic Hepatitis C |
PRAMIPEXOLE,https://www.drugs.com/dosage/pramipexole.html,Parkinson's Disease | Restless Legs Syndrome |,,,,[Adult] Parkinson's Disease | Restless Legs Syndrome |
GANCICLOVIR,https://www.drugs.com/dosage/ganciclovir.html,CMV Retinitis | CMV Prophylaxis,CMV Infection |,,,[Adult] CMV Retinitis | CMV Prophylaxis // [Pediatric] CMV Infection |
PRUCALOPRIDE,https://www.drugs.com/dosage/prucalopride.html,Chronic Idiopathic Constipation |,,,,[Adult] Chronic Idiopathic Constipation |
AVATROMBOPAG,https://www.drugs.com/dosage/avatrombopag.html,Thrombocytopenia |,,,,[Adult] Thrombocytopenia |
GEFITINIB,https://www.drugs.com/dosage/gefitinib.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
SODIUM BICARBONATE,https://www.drugs.com/dosage/sodium-bicarbonate.html,Metabolic Acidosis | Diabetic Ketoacidosis | Urinary Alkalinization | Dyspepsia | Hyperkalemia | Asystole,Metabolic Acidosis | Urinary Alkalinization | Hyperuricemia Secondary to Chemotherapy | Asystole |,,,[Adult] Metabolic Acidosis | Diabetic Ketoacidosis | Urinary Alkalinization | Dyspepsia | Hyperkalemia | Asystole // [Pediatric] Metabolic Acidosis | Urinary Alkalinization | Hyperuricemia Secondary to Chemotherapy | Asystole |
PARICALCITOL,https://www.drugs.com/dosage/paricalcitol.html,Secondary Hyperparathyroidism,Secondary Hyperparathyroidism |,,,[Adult] Secondary Hyperparathyroidism // [Pediatric] Secondary Hyperparathyroidism |
REPAGLINIDE,https://www.drugs.com/dosage/repaglinide.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
"INSULIN ASPART, INSULIN ASPART PROTAMINE",https://www.drugs.com/dosage/insulin-aspart-insulin-aspart-protamine.html,Diabetes Type 1 | Diabetes Type 2 |,,,,[Adult] Diabetes Type 1 | Diabetes Type 2 |
RASAGILINE,https://www.drugs.com/dosage/rasagiline.html,Parkinson's Disease |,,,,[Adult] Parkinson's Disease |
